,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Category,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
39,I Dossi Teroldego 2021,Roeno,I Dossi Teroldego,2021,Italy,Vallagarina,northern-italy-red,Red,Red,Teroldego,35,0.0,1,13.68,2.709669,,3.6783164,1.9752375,2.991007
41,Nero Silvo Rosso 2019,Villa Persani,Nero Silvo Rosso,2019,Italy,Vigneti delle Dolomiti,northern-italy-red,Red,Red,Teroldego,35,0.0,0,26.58,2.5651064,,3.8551064,1.5,3.0898938
42,Vigneti delle Dolomiti Teroldego 2021,Terre del Föhn,Vigneti delle Dolomiti Teroldego,2021,Italy,Vigneti delle Dolomiti,northern-italy-red,Red,Red,Teroldego,35,0.0,4,10.76,2.4118366,,3.6961224,2.0595918,2.8371427
43,Teroldego Rotaliano 2016,Cantina Rotaliana,Teroldego Rotaliano,2016,Italy,Teroldego Rotaliano,northern-italy-red,Red,Red,Teroldego,35,3.2,175,10.76,2.8352547,,3.2977362,1.9343104,2.9243102
44,Harlequin 2015,Zýmē,Harlequin,2015,Italy,Veneto,northern-italy-red,Red,Red,Teroldego,35,4.6,105,265.0,2.656454,,4.08273,2.4388974,3.0804603
45,Gran Masetto Teroldego 2019,Endrizzi,Gran Masetto Teroldego,2019,Italy,Trentino,northern-italy-red,Red,Red,Teroldego,35,0.0,24,48.9,2.429443,,4.1007233,2.4217665,2.8149185
46,Rosso Dolce – Sweet Red ,Roscato,Rosso Dolce – Sweet Red,,Italy,Provincia di Pavia,northern-italy-red,Red,Red,Teroldego,35,4.2,16248,13.09409439,2.2200177,,3.8956254,3.1307385,2.9027011
47,Granato 2006,Foradori,Granato,2006,Italy,Vigneti delle Dolomiti,northern-italy-red,Red,Red,Teroldego,35,4.2,210,51.82,2.7015996,,3.8648336,2.009091,3.0274105
48,Granato 2021,Foradori,Granato,2021,Italy,Vigneti delle Dolomiti,northern-italy-red,Red,Red,Teroldego,35,0.0,4,59.99,2.7015996,,3.8648336,2.009091,3.0274105
49,Granato 2015,Foradori,Granato,2015,Italy,Vigneti delle Dolomiti,northern-italy-red,Red,Red,Teroldego,35,4.1,552,49.0,2.7015996,,3.8648336,2.009091,3.0274105
50,Artesis Côtes du Rhône Rouge 2019,Ogier,Artesis Côtes du Rhône Rouge,2019,France,Côtes-du-Rhône,southern-rhone-red,Red,Red,Marsanne,24,3.6,387,10.95,3.3341234,,3.7715607,1.6118615,3.2752526
51,Ventoux Saint-Pétrarque 2021,Gabriel Meffre,Ventoux Saint-Pétrarque,2021,France,Ventoux,southern-rhone-red,Red,Red,Marsanne,24,0.0,18,8.5,3.4357178,,3.7765794,1.2661619,3.1703393
52,Vin de Pays de l'Hérault Blanc 2019,La Grange des Pères,Vin de Pays de l'Hérault Blanc,2019,France,Hérault,languedoc-roussillon-white,White,White,Marsanne,24,0.0,13,375.15,3.0586605,,3.6201806,1.9120209,
53,L'Hermitage Blanc 2014,Domaine Jean-Louis Chave,L'Hermitage Blanc,2014,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.6,120,732.0,2.348793,,3.6745548,2.209088,
54,Ermitage de l'Orée 2015,M. Chapoutier,Ermitage de l'Orée,2015,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.6,56,292.95,2.3859098,,3.5399842,2.2626588,
55,L'Hermitage Blanc 2018,Domaine Jean-Louis Chave,L'Hermitage Blanc,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.6,48,355.0,2.348793,,3.6745548,2.209088,
56,L'Hermitage Blanc 2019,Domaine Jean-Louis Chave,L'Hermitage Blanc,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,17,375.0,2.348793,,3.6745548,2.209088,
57,Ermitage l'Ermite Blanc 2014,M. Chapoutier,Ermitage l'Ermite Blanc,2014,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,11,905.1,2.3164318,,3.6494274,2.3228636,
58,Ermitage l'Ermite Blanc 2018,M. Chapoutier,Ermitage l'Ermite Blanc,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,5,909.3,2.3164318,,3.6494274,2.3228636,
59,Ermitage l'Ermite Blanc 2013,M. Chapoutier,Ermitage l'Ermite Blanc,2013,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,12,905.1,2.3164318,,3.6494274,2.3228636,
60,Vin de Pays de l'Hérault Blanc 2015,La Grange des Pères,Vin de Pays de l'Hérault Blanc,2015,France,Hérault,languedoc-roussillon-white,White,White,Marsanne,24,4.5,166,662.4,3.0586605,,3.6201806,1.9120209,
61,L'Hermitage Blanc 2011,Domaine Jean-Louis Chave,L'Hermitage Blanc,2011,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.5,143,267.0,2.348793,,3.6745548,2.209088,
62,L'Hermitage Blanc 2015,Domaine Jean-Louis Chave,L'Hermitage Blanc,2015,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.5,86,325.0,2.348793,,3.6745548,2.209088,
63,Ermitage de l'Orée 2017,M. Chapoutier,Ermitage de l'Orée,2017,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.5,59,283.5,2.3859098,,3.5399842,2.2626588,
64,Ermitage l'Ermite Blanc 2008,M. Chapoutier,Ermitage l'Ermite Blanc,2008,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.5,29,397.95,2.3164318,,3.6494274,2.3228636,
65,Ermitage de l'Orée 2019,M. Chapoutier,Ermitage de l'Orée,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,15,292.95,2.3859098,,3.5399842,2.2626588,
66,Ermitage de l'Orée 2018,M. Chapoutier,Ermitage de l'Orée,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,19,283.5,2.3859098,,3.5399842,2.2626588,
67,Ermitage de l'Orée 2020,M. Chapoutier,Ermitage de l'Orée,2020,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,0,291.9,2.3859098,,3.5399842,2.2626588,
68,Ermitage Le Méal Blanc 2019,M. Chapoutier,Ermitage Le Méal Blanc,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,1,257.25,2.3875082,,3.767264,2.3112094,
69,Ermitage Le Méal Blanc 2018,M. Chapoutier,Ermitage Le Méal Blanc,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,11,256.2,2.3875082,,3.767264,2.3112094,
70,Ermitage Le Méal Blanc 2017,M. Chapoutier,Ermitage Le Méal Blanc,2017,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,12,261.45,2.3875082,,3.767264,2.3112094,
71,Ermitage Le Méal Blanc 2020,M. Chapoutier,Ermitage Le Méal Blanc,2020,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,12,263.55,2.3875082,,3.767264,2.3112094,
72,L'Hermitage Blanc 2012,Domaine Jean-Louis Chave,L'Hermitage Blanc,2012,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,109,304.0,2.348793,,3.6745548,2.209088,
73,L'Hermitage Blanc 2010,Domaine Jean-Louis Chave,L'Hermitage Blanc,2010,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,77,313.0,2.348793,,3.6745548,2.209088,
74,L'Hermitage Blanc 2004,Domaine Jean-Louis Chave,L'Hermitage Blanc,2004,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,75,786.9,2.348793,,3.6745548,2.209088,
75,Ermitage Ex-Voto Blanc 2013,E. Guigal,Ermitage Ex-Voto Blanc,2013,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,53,189.0,2.3978307,,3.6886482,2.2475028,
76,Ermitage de l'Orée 2016,M. Chapoutier,Ermitage de l'Orée,2016,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,38,283.5,2.3859098,,3.5399842,2.2626588,
77,Ermitage Le Méal Blanc 2014,M. Chapoutier,Ermitage Le Méal Blanc,2014,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,4.4,25,250.95,2.3875082,,3.767264,2.3112094,
78,Ermitage Ex-Voto Blanc 2016,E. Guigal,Ermitage Ex-Voto Blanc,2016,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,16,155.0,2.3978307,,3.6886482,2.2475028,
79,Ermitage Ex-Voto Blanc 2020,E. Guigal,Ermitage Ex-Voto Blanc,2020,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,0,175.0,2.3978307,,3.6886482,2.2475028,
80,Hermitage Blanc 2019,Laurus,Hermitage Blanc,2019,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,6,47.0,2.1588495,,3.372522,2.1804867,
81,Hermitage Blanc 2018,Laurus,Hermitage Blanc,2018,France,Hermitage,northern-rhone-white,White,White,Marsanne,24,0.0,13,45.0,2.1588495,,3.372522,2.1804867,
82,Les Oliviers Saint-Joseph 2015,Domaine Pierre Gonon,Les Oliviers Saint-Joseph,2015,France,Saint-Joseph,northern-rhone-white,White,White,Marsanne,24,4.3,146,136.2,2.5270505,,3.471695,2.0689049,
83,Casòn Hirschprunn Bianco 2019,Alois Lageder,Casòn Hirschprunn Bianco,2019,Italy,Vigneti delle Dolomiti,northern-italy-white,White,White,Marsanne,24,4.3,81,63.19,3.2689726,,3.900977,2.1089454,
